transaction_date,unique_transaction_id,item_code,item_sr_no,item_manufacture_date,sale_price,discount_price,store_no,store_name,customer_id
2024-03-20,2001,T001,S001,2024-01-01,500,450,001,Store1,C001
2024-03-20,2002,T002,S002,2023-12-15,600,550,002,Store2,C002
2024-03-20,2003,T003,S003,2024-02-10,700,650,003,Store3,C003
2024-03-20,2004,T004,S004,2024-01-20,800,750,004,Store4,C004
2024-03-20,2005,T005,S005,2024-03-05,900,850,005,Store5,C005
2024-03-20,2006,T006,S006,2024-02-15,1000,950,006,Store6,C006
2024-03-20,2007,T007,S007,2024-03-10,1100,1050,007,Store7,C007
2024-03-20,2008,T008,S008,2024-02-20,1200,1150,008,Store8,C008
2024-03-20,2009,T009,S009,2024-03-15,1300,1250,009,Store9,C009
2024-03-20,2010,T010,S010,2024-02-25,1400,1350,010,Store10,C010
