transaction_date,unique_transaction_id,item_code,item_sr_no,item_manufacture_date,sale_price,discount_price,store_no,store_name,customer_id,city
2024-03-25,1021,T021,S021,2024-01-10,2500,2450,021,Store21,C021,City21
2024-03-25,1022,T022,S022,2024-01-30,2600,2550,022,Store22,C022,City22
2024-03-25,1023,T023,S023,2024-02-15,2700,2650,023,Store23,C023,City23
2024-03-25,1024,T024,S024,2024-03-05,2800,2750,024,Store24,C024,City24
2024-03-25,1025,T025,S025,2024-02-20,2900,2850,025,Store25,C025,City25
2024-03-25,1026,T026,S026,2024-01-25,3000,2950,026,Store26,C026,City26
2024-03-25,1027,T027,S027,2024-02-05,3100,3050,027,Store27,C027,City27
2024-03-25,1028,T028,S028,2024-03-15,3200,3150,028,Store28,C028,City28
2024-03-25,1029,T029,S029,2024-02-10,3300,3250,029,Store29,C029,City29
2024-03-25,1030,T030,S030,2024-01-01,3400,3350,030,Store30,C030,City30
